feedback_id,customer_id,date,rating,comment,summary
F00001,C0428,2025-01-08,1,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00002,C0112,2024-09-28,3,Love the fast delivery and packaging.,Customer loves the fast delivery and packaging.
F00003,C0316,2025-06-28,4,Product quality is not as described.,Customer feedback indicates that the product quality does not meet the advertised description.
F00004,C0446,2025-03-20,5,Disappointed with the return process.,Customer was dissatisfied with the return process.
F00005,C0343,2024-08-03,2,App is very slow and keeps freezing.,"Customer feedback: App is very slow and keeps freezing. 

Summary: App is slow and freezes frequently."
F00006,C0145,2024-12-11,5,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00007,C0065,2024-12-07,4,Website UI is confusing to navigate.,Customer found the website UI difficult to navigate.
F00008,C0247,2024-09-10,3,Very satisfied with the product and support.,Customer is very satisfied with the product and support received.
F00009,C0223,2024-11-03,4,Very satisfied with the product and support.,The customer is very satisfied with both the product and support.
F00010,C0479,2025-01-25,4,"Great shopping experience, will definitely return.",Customer had a great experience and plans to return.
F00011,C0490,2024-08-06,5,App is very slow and keeps freezing.,Customer feedback: The app is slow and frequently freezes.
F00012,C0313,2024-10-08,2,Product quality is not as described.,The product quality does not match the description.
F00013,C0439,2024-09-22,4,Product quality is not as described.,Customer feedback indicates that the product quality does not meet the description provided.
F00014,C0106,2025-03-13,5,Customer service was very helpful and quick.,Customer service was efficient and supportive.
F00015,C0181,2024-09-26,2,Very satisfied with the product and support.,Customer is very satisfied with both the product and support.
F00016,C0184,2024-11-20,3,Disappointed with the return process.,Customer is disappointed with the return process.
F00017,C0226,2025-03-25,3,App is very slow and keeps freezing.,Customer finds the app slow and prone to freezing.
F00018,C0265,2025-04-19,1,Product quality is not as described.,The product quality does not meet the description provided.
F00019,C0278,2024-12-30,5,Customer service was very helpful and quick.,The customer found the customer service to be efficient and helpful.
F00020,C0397,2024-07-22,2,App is very slow and keeps freezing.,Customer feedback indicates that the app is slow and frequently freezes.
F00021,C0089,2025-06-16,4,I had to cancel my order due to a technical glitch.,Customer had to cancel order due to technical glitch.
F00022,C0176,2024-12-31,3,Product quality is not as described.,Customer feels that the product they received does not meet the quality described.
F00023,C0018,2024-08-08,2,I had to cancel my order due to a technical glitch.,Order was canceled due to technical issues.
F00024,C0371,2025-06-05,5,App is very slow and keeps freezing.,Customer feedback: The app is slow and freezes frequently.
F00025,C0460,2024-10-16,1,Product quality is not as described.,Customer feedback indicates that the product quality does not meet the description.
F00026,C0424,2025-03-03,3,I had to cancel my order due to a technical glitch.,Customer had to cancel order because of a technical issue.
F00027,C0401,2025-02-03,2,Love the fast delivery and packaging.,Customer loves the fast delivery and packaging.
F00028,C0399,2024-11-01,2,Customer service was very helpful and quick.,Customer service was efficient and supportive.
F00029,C0106,2025-02-14,2,Disappointed with the return process.,Customer was disappointed with the return process.
F00030,C0271,2024-09-13,5,Very satisfied with the product and support.,Customer is highly satisfied with both the product and support received.
F00031,C0463,2024-09-06,5,Customer service was very helpful and quick.,The customer found the customer service to be efficient and responsive.
F00032,C0319,2025-02-10,5,I had to cancel my order due to a technical glitch.,Order was canceled due to technical glitch.
F00033,C0167,2024-11-13,4,Product quality is not as described.,Customer feedback indicates that the product quality does not match the description provided.
F00034,C0013,2024-08-04,2,Love the fast delivery and packaging.,Customer loves the fast delivery and packaging.
F00035,C0337,2024-08-25,3,Love the fast delivery and packaging.,Customer appreciates the quick delivery and packaging.
F00036,C0032,2025-04-04,5,Very satisfied with the product and support.,Customer is very pleased with the product and support provided.
F00037,C0393,2024-08-07,5,Love the fast delivery and packaging.,Customer loves the fast delivery and packaging.
F00038,C0040,2024-12-19,2,Customer service was very helpful and quick.,Customer service was efficient and attentive.
F00039,C0148,2025-01-30,5,Appreciate the quick refund process.,Customer appreciated the quick refund process.
F00040,C0218,2025-02-05,4,Love the fast delivery and packaging.,Customer loves the fast delivery and packaging.
F00041,C0219,2024-07-19,4,Very satisfied with the product and support.,Customer is very satisfied with both the product and the support received.
F00042,C0469,2025-03-10,5,Love the fast delivery and packaging.,Customer appreciates the quick delivery and packaging.
F00043,C0082,2025-04-18,2,Love the fast delivery and packaging.,Customer loves the fast delivery and packaging.
F00044,C0333,2024-09-16,2,Website UI is confusing to navigate.,Customer feedback: The website UI is confusing to navigate.
F00045,C0208,2025-04-20,2,Customer service was very helpful and quick.,The customer service was efficient and provided great assistance.
F00046,C0201,2025-07-10,1,I had to cancel my order due to a technical glitch.,Customer had to cancel order because of technical issue.
F00047,C0447,2024-11-14,5,"Great shopping experience, will definitely return.",Customer had a great shopping experience and plans to return.
F00048,C0332,2024-12-03,2,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00049,C0428,2024-07-27,4,Love the fast delivery and packaging.,Customer loves the fast delivery and packaging.
F00050,C0038,2024-09-06,3,Disappointed with the return process.,Customer was disappointed with the return process.
F00051,C0211,2025-06-28,3,Love the fast delivery and packaging.,Customer loves the fast delivery and packaging.
F00052,C0444,2024-08-22,2,Website UI is confusing to navigate.,Customers find the website user interface difficult to navigate.
F00053,C0327,2025-04-04,3,I had to cancel my order due to a technical glitch.,Customer had to cancel order because of technical issue.
F00054,C0249,2024-10-11,3,Disappointed with the return process.,Customer was disappointed with the return process.
F00055,C0227,2024-07-15,1,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00056,C0048,2024-12-08,4,Disappointed with the return process.,Customer is dissatisfied with the return process.
F00057,C0018,2024-07-14,4,Customer service was very helpful and quick.,Customer service was praised for being helpful and efficient.
F00058,C0400,2025-02-16,1,Very satisfied with the product and support.,Customer is very satisfied with both the product and support received.
F00059,C0439,2024-08-04,1,Very satisfied with the product and support.,Customer is very satisfied with both the product and support.
F00060,C0295,2025-05-25,3,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00061,C0196,2024-12-10,5,I had to cancel my order due to a technical glitch.,Customer had to cancel their order because of a technical issue.
F00062,C0187,2025-05-07,3,Very satisfied with the product and support.,Customer is very satisfied with both the product and support received.
F00063,C0345,2025-02-18,1,App is very slow and keeps freezing.,Customer finds app slow and freezing frequently.
F00064,C0224,2024-08-28,4,Website UI is confusing to navigate.,The website's user interface is difficult to navigate.
F00065,C0318,2025-06-10,3,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00066,C0488,2024-10-08,5,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00067,C0397,2025-05-04,3,"Great shopping experience, will definitely return.",Customer had a great shopping experience and plans to return.
F00068,C0365,2025-03-14,2,"Great shopping experience, will definitely return.",Customer had a great shopping experience and plans to return in the future.
F00069,C0337,2024-07-26,3,Customer service was very helpful and quick.,Customer service was efficient and supportive.
F00070,C0497,2025-02-16,1,Customer service was very helpful and quick.,Customer service was responsive and efficient.
F00071,C0229,2025-02-09,4,"Great shopping experience, will definitely return.",Customer had a great shopping experience and plans to return in the future.
F00072,C0390,2024-08-10,4,Very satisfied with the product and support.,Highly satisfied with the product and support received.
F00073,C0467,2024-07-20,1,Product quality is not as described.,Customer feedback indicates that the product quality does not meet the description provided.
F00074,C0077,2025-03-21,2,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00075,C0188,2025-05-29,1,App is very slow and keeps freezing.,Customer is experiencing slow performance and freezing issues with the app.
F00076,C0346,2025-07-01,3,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00077,C0270,2025-01-14,1,Love the fast delivery and packaging.,Customer loves the fast delivery and packaging.
F00078,C0095,2025-07-11,1,I had to cancel my order due to a technical glitch.,Order was canceled due to technical glitch.
F00079,C0310,2025-02-19,2,Website UI is confusing to navigate.,The website user interface is difficult to navigate.
F00080,C0132,2025-03-20,3,Product quality is not as described.,Product quality does not meet expectations as described.
F00081,C0039,2024-12-09,5,App is very slow and keeps freezing.,Customer feedback: The app is very slow and keeps freezing.
F00082,C0072,2024-10-30,5,Love the fast delivery and packaging.,Customer loves the fast delivery and packaging of the product.
F00083,C0281,2025-04-05,4,Customer service was very helpful and quick.,The customer service was efficient and supportive.
F00084,C0333,2025-03-09,1,App is very slow and keeps freezing.,Customer finds the app slow and freezing frequently.
F00085,C0160,2024-12-10,4,"Great shopping experience, will definitely return.",Customer had a positive shopping experience and plans to come back in the future.
F00086,C0187,2025-01-03,2,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00087,C0486,2025-07-01,5,App is very slow and keeps freezing.,Customer feedback: The app is slow and freezes frequently.
F00088,C0191,2025-04-29,1,I had to cancel my order due to a technical glitch.,Order was canceled due to technical issue.
F00089,C0422,2024-10-13,2,Disappointed with the return process.,Customer was unsatisfied with the return process.
F00090,C0120,2025-04-04,2,Customer service was very helpful and quick.,Customer service was efficient and responsive.
F00091,C0220,2025-01-19,1,Website UI is confusing to navigate.,The website's user interface is difficult to navigate.
F00092,C0053,2025-03-07,2,Website UI is confusing to navigate.,Customers find the website user interface difficult to navigate.
F00093,C0222,2024-10-18,1,App is very slow and keeps freezing.,Customer finds the app slow and prone to freezing.
F00094,C0451,2024-11-24,1,Disappointed with the return process.,Customer found the return process disappointing.
F00095,C0412,2025-03-17,3,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00096,C0131,2025-01-05,4,Love the fast delivery and packaging.,Customer loves the fast delivery and packaging.
F00097,C0237,2025-01-15,2,Product quality is not as described.,The product quality does not meet the description.
F00098,C0246,2025-07-05,2,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00099,C0226,2025-06-26,3,Love the fast delivery and packaging.,Customer appreciates the quick delivery and quality packaging.
F00100,C0208,2024-09-10,3,Product quality is not as described.,Customer feedback indicates that the product does not meet the advertised quality.
F00101,C0406,2025-01-05,3,Disappointed with the return process.,Customer was dissatisfied with the return process.
F00102,C0096,2025-02-06,5,Product quality is not as described.,Customer is dissatisfied with the product quality not meeting expectations.
F00103,C0422,2025-06-19,5,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00104,C0200,2024-11-29,5,I had to cancel my order due to a technical glitch.,Customer had to cancel order because of a technical issue.
F00105,C0247,2024-10-07,1,App is very slow and keeps freezing.,Customer finds the app slow and freezing frequently.
F00106,C0072,2024-09-07,2,Love the fast delivery and packaging.,Customer loves the quick delivery and packaging of their order.
F00107,C0318,2024-11-01,4,I had to cancel my order due to a technical glitch.,Customer had to cancel order due to technical glitch.
F00108,C0185,2025-03-17,1,Love the fast delivery and packaging.,Customer loves the fast delivery and packaging.
F00109,C0006,2025-04-22,2,App is very slow and keeps freezing.,Customer finds the app to be slow and freezing frequently.
F00110,C0206,2024-09-18,2,Very satisfied with the product and support.,Customer is very satisfied with the product and support received.
F00111,C0032,2024-12-10,3,Product quality is not as described.,The product quality does not meet expectations.
F00112,C0099,2024-10-20,3,Disappointed with the return process.,Customer was dissatisfied with the return process.
F00113,C0394,2025-06-20,1,Very satisfied with the product and support.,Customer is highly satisfied with both the product and support.
F00114,C0387,2024-09-13,3,Very satisfied with the product and support.,Customer is very satisfied with both the product and the support.
F00115,C0256,2024-12-02,2,Website UI is confusing to navigate.,Customer finds the website UI difficult to navigate.
F00116,C0187,2025-04-26,3,"Great shopping experience, will definitely return.",Customer had a great shopping experience and plans to return in the future.
F00117,C0076,2024-07-21,5,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00118,C0177,2024-12-27,3,I had to cancel my order due to a technical glitch.,Customer had to cancel order because of a technical issue.
F00119,C0315,2025-05-21,2,I had to cancel my order due to a technical glitch.,Order cancellation was necessary due to a technical issue.
F00120,C0287,2024-11-06,1,I had to cancel my order due to a technical glitch.,Customer had to cancel their order due to a technical glitch.
F00121,C0349,2024-09-06,4,I had to cancel my order due to a technical glitch.,Customer had to cancel order because of technical issue.
F00122,C0255,2024-07-29,3,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00123,C0325,2025-01-07,2,Very satisfied with the product and support.,Customer is very satisfied with both the product and support.
F00124,C0190,2024-12-19,4,Appreciate the quick refund process.,Customer appreciates the fast refund process.
F00125,C0308,2025-04-15,4,I had to cancel my order due to a technical glitch.,Customer had to cancel their order because of a technical glitch.
F00126,C0345,2025-06-19,5,"Great shopping experience, will definitely return.",Customer had a great shopping experience and plans to return in the future.
F00127,C0127,2025-02-08,4,Customer service was very helpful and quick.,Customer service was efficient and supportive.
F00128,C0425,2025-06-08,2,App is very slow and keeps freezing.,App is slow and freezes frequently.
F00129,C0287,2024-10-09,2,I had to cancel my order due to a technical glitch.,Customer had to cancel order due to technical glitch.
F00130,C0254,2024-12-16,3,Disappointed with the return process.,Customer was disappointed with the return process.
F00131,C0213,2024-08-30,3,Customer service was very helpful and quick.,The customer service was efficient and supportive.
F00132,C0250,2025-06-04,3,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00133,C0084,2025-03-13,4,Disappointed with the return process.,Customer was unhappy with the return process.
F00134,C0487,2024-11-27,4,Disappointed with the return process.,Customer was unhappy with the return process.
F00135,C0383,2024-10-01,5,Love the fast delivery and packaging.,Customer loves the fast delivery and packaging.
F00136,C0406,2025-07-13,3,Disappointed with the return process.,Customer is disappointed with the return process.
F00137,C0388,2024-12-17,1,I had to cancel my order due to a technical glitch.,Customer had to cancel their order because of a technical issue.
F00138,C0013,2024-12-23,5,Love the fast delivery and packaging.,Customer loves the fast delivery and packaging.
F00139,C0045,2025-06-21,1,Website UI is confusing to navigate.,Customer finds the website's user interface difficult to navigate.
F00140,C0127,2024-12-22,4,Very satisfied with the product and support.,Customer is very satisfied with both the product and support.
F00141,C0426,2025-01-07,5,Disappointed with the return process.,Unsatisfied with the return process.
F00142,C0114,2025-04-23,5,"Great shopping experience, will definitely return.",The customer had a positive shopping experience and plans to come back in the future.
F00143,C0433,2025-01-04,2,App is very slow and keeps freezing.,The app is experiencing performance issues with slow speeds and frequent freezing.
F00144,C0276,2025-01-01,4,Disappointed with the return process.,Customer is dissatisfied with the return process.
F00145,C0500,2024-12-10,4,Website UI is confusing to navigate.,The website UI is difficult to navigate.
F00146,C0205,2025-01-09,5,Product quality is not as described.,Customer feedback indicates that the product quality does not match the description.
F00147,C0337,2024-12-01,4,Appreciate the quick refund process.,Customer appreciates the prompt refund process.
F00148,C0438,2024-11-21,5,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00149,C0420,2024-11-16,2,Website UI is confusing to navigate.,The website's user interface is difficult to navigate.
F00150,C0481,2025-03-28,5,Product quality is not as described.,Customer feedback: The product quality does not match the description.
F00151,C0385,2024-12-14,4,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00152,C0399,2024-09-02,4,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00153,C0461,2025-04-19,5,Appreciate the quick refund process.,Customer appreciates the quick refund process.
F00154,C0273,2025-02-03,5,Website UI is confusing to navigate.,The website's user interface is difficult to navigate.
F00155,C0408,2024-09-30,5,Very satisfied with the product and support.,Customer is extremely pleased with both the product and the support received.
F00156,C0058,2024-10-16,3,App is very slow and keeps freezing.,Customer feedback: The app is slow and frequently freezes.
F00157,C0328,2024-10-05,4,Website UI is confusing to navigate.,Customer finds the website UI difficult to navigate.
F00158,C0498,2025-04-15,4,Product quality is not as described.,The product quality does not match the description provided.
F00159,C0219,2024-09-25,3,Disappointed with the return process.,Customer was disappointed with the return process.
F00160,C0109,2025-02-18,5,Very satisfied with the product and support.,Customer is very satisfied with both the product and support received.
F00161,C0279,2024-09-26,2,Very satisfied with the product and support.,Customer is very satisfied with both the product and the support received.
F00162,C0174,2025-06-17,5,Disappointed with the return process.,Customer was disappointed with the return process.
