ticket_id,customer_id,created_at,text
S00001,C0137,2024-12-13,The app crashes when I try to checkout.
S00002,C0338,2025-05-28,Delivery was delayed by over a week.
S00003,C0056,2025-03-26,I still haven’t received my refund.
S00004,C0187,2024-07-24,The app crashes when I try to checkout.
S00005,C0341,2025-01-13,Order status has not been updated in 3 days.
S00006,C0258,2024-09-11,Promo code is not being applied at checkout.
S00007,C0445,2025-02-05,The app crashes when I try to checkout.
S00008,C0058,2024-10-06,Promo code is not being applied at checkout.
S00009,C0363,2024-09-03,Customer support is not responding to my emails.
S00010,C0123,2025-04-29,Items are missing from my delivered package.
S00011,C0188,2024-12-11,My payment method was declined but it's valid.
S00012,C0230,2025-05-18,Items are missing from my delivered package.
S00013,C0168,2025-05-18,I can't update my shipping address.
S00014,C0420,2025-06-07,My payment method was declined but it's valid.
S00015,C0114,2025-02-09,My payment method was declined but it's valid.
S00016,C0252,2024-11-04,Why was I charged twice for the same order?
S00017,C0107,2025-03-16,My payment method was declined but it's valid.
S00018,C0037,2024-09-06,I still haven’t received my refund.
S00019,C0335,2024-11-05,Items are missing from my delivered package.
S00020,C0092,2025-04-02,Customer support is not responding to my emails.
S00021,C0018,2025-06-22,Promo code is not being applied at checkout.
S00022,C0354,2025-07-03,I can't update my shipping address.
S00023,C0063,2025-05-17,My payment method was declined but it's valid.
S00024,C0150,2025-06-14,I can't update my shipping address.
S00025,C0139,2025-04-22,Customer support is not responding to my emails.
S00026,C0186,2025-03-21,I can't update my shipping address.
S00027,C0185,2024-12-04,Customer support is not responding to my emails.
S00028,C0205,2024-07-17,My payment method was declined but it's valid.
S00029,C0260,2025-02-12,Customer support is not responding to my emails.
S00030,C0214,2025-06-17,My payment method was declined but it's valid.
S00031,C0256,2025-02-13,Why was I charged twice for the same order?
S00032,C0135,2024-09-05,Why was I charged twice for the same order?
S00033,C0061,2024-08-29,Customer support is not responding to my emails.
S00034,C0363,2024-07-29,Why was I charged twice for the same order?
S00035,C0310,2024-07-14,Promo code is not being applied at checkout.
S00036,C0088,2025-02-20,Promo code is not being applied at checkout.
S00037,C0324,2025-03-01,Why was I charged twice for the same order?
S00038,C0476,2024-12-13,Why was I charged twice for the same order?
S00039,C0207,2025-02-06,Order status has not been updated in 3 days.
S00040,C0129,2025-02-10,Order status has not been updated in 3 days.
S00041,C0311,2024-08-15,My payment method was declined but it's valid.
S00042,C0003,2024-11-08,Customer support is not responding to my emails.
S00043,C0462,2024-10-02,Delivery was delayed by over a week.
S00044,C0422,2025-04-29,Delivery was delayed by over a week.
S00045,C0242,2025-04-26,Why was I charged twice for the same order?
S00046,C0121,2025-06-28,I can't update my shipping address.
S00047,C0385,2025-04-20,Why was I charged twice for the same order?
S00048,C0102,2024-11-23,Order status has not been updated in 3 days.
S00049,C0038,2024-10-03,My payment method was declined but it's valid.
S00050,C0341,2024-12-20,Why was I charged twice for the same order?
S00051,C0496,2025-06-29,Items are missing from my delivered package.
S00052,C0413,2025-03-20,I can't update my shipping address.
S00053,C0133,2025-06-08,Items are missing from my delivered package.
S00054,C0497,2025-01-28,My payment method was declined but it's valid.
S00055,C0202,2024-09-06,My payment method was declined but it's valid.
S00056,C0348,2024-09-13,Promo code is not being applied at checkout.
S00057,C0021,2024-09-22,The app crashes when I try to checkout.
S00058,C0242,2024-10-06,Items are missing from my delivered package.
S00059,C0455,2025-03-09,Promo code is not being applied at checkout.
S00060,C0451,2025-06-02,Order status has not been updated in 3 days.
S00061,C0109,2024-10-19,I still haven’t received my refund.
S00062,C0303,2024-09-26,I can't update my shipping address.
S00063,C0084,2024-08-26,I still haven’t received my refund.
S00064,C0083,2024-09-21,Customer support is not responding to my emails.
S00065,C0291,2025-03-30,Order status has not been updated in 3 days.
S00066,C0452,2025-05-19,Order status has not been updated in 3 days.
S00067,C0069,2025-02-18,I still haven’t received my refund.
S00068,C0129,2025-06-08,Items are missing from my delivered package.
S00069,C0196,2024-08-03,The app crashes when I try to checkout.
S00070,C0140,2025-06-08,Items are missing from my delivered package.
S00071,C0444,2025-04-30,I still haven’t received my refund.
S00072,C0283,2025-07-10,Customer support is not responding to my emails.
S00073,C0312,2025-02-11,Items are missing from my delivered package.
S00074,C0234,2025-01-08,Delivery was delayed by over a week.
S00075,C0023,2025-03-20,Items are missing from my delivered package.
S00076,C0153,2025-02-11,My payment method was declined but it's valid.
S00077,C0277,2024-08-10,Promo code is not being applied at checkout.
S00078,C0061,2024-11-02,I can't update my shipping address.
S00079,C0319,2025-03-30,Items are missing from my delivered package.
S00080,C0378,2024-08-08,The app crashes when I try to checkout.
S00081,C0052,2024-10-18,The app crashes when I try to checkout.
S00082,C0344,2024-08-20,Items are missing from my delivered package.
